node_id,node_type,zone_id,side,has_kansen,has_sidou,lon,lat,intersection_type,is_signalized,juusin_kansen,juusin_sidou,priority,notes
B-513243254-E,BOUNDARY,513243254,E,0,0,,,,,,,1.0,
B-513243254-N,BOUNDARY,513243254,N,1,0,,,,,,,1.0,
B-513243254-S,BOUNDARY,513243254,S,0,0,,,,,,,1.0,
B-513243254-W,BOUNDARY,513243254,W,0,0,,,,,,,1.0,
B-513243263-E,BOUNDARY,513243263,E,0,0,,,,,,,1.0,
B-513243263-N,BOUNDARY,513243263,N,1,0,,,,,,,1.0,
B-513243263-S,BOUNDARY,513243263,S,0,0,,,,,,,1.0,
B-513243263-W,BOUNDARY,513243263,W,0,0,,,,,,,1.0,
B-513243264-E,BOUNDARY,513243264,E,0,0,,,,,,,1.0,
B-513243264-N,BOUNDARY,513243264,N,1,1,,,,,,,1.0,
B-513243264-S,BOUNDARY,513243264,S,0,0,,,,,,,1.0,
B-513243264-W,BOUNDARY,513243264,W,0,0,,,,,,,1.0,
B-513243273-E,BOUNDARY,513243273,E,0,0,,,,,,,1.0,
B-513243273-N,BOUNDARY,513243273,N,1,1,,,,,,,1.0,
B-513243273-S,BOUNDARY,513243273,S,0,0,,,,,,,1.0,
B-513243273-W,BOUNDARY,513243273,W,0,1,,,,,,,1.0,
B-513243274-E,BOUNDARY,513243274,E,0,0,,,,,,,1.0,
B-513243274-N,BOUNDARY,513243274,N,1,0,,,,,,,1.0,
B-513243274-S,BOUNDARY,513243274,S,0,0,,,,,,,1.0,
B-513243274-W,BOUNDARY,513243274,W,0,0,,,,,,,1.0,
B-513243283-E,BOUNDARY,513243283,E,0,0,,,,,,,1.0,
B-513243283-N,BOUNDARY,513243283,N,1,0,,,,,,,1.0,
B-513243283-S,BOUNDARY,513243283,S,0,0,,,,,,,1.0,
B-513243283-W,BOUNDARY,513243283,W,0,0,,,,,,,1.0,
B-513243341-E,BOUNDARY,513243341,E,1,0,,,,,,,1.0,
B-513243341-N,BOUNDARY,513243341,N,1,0,,,,,,,1.0,
B-513243341-S,BOUNDARY,513243341,S,0,0,,,,,,,1.0,
B-513243341-W,BOUNDARY,513243341,W,0,0,,,,,,,1.0,
B-513243342-E,BOUNDARY,513243342,E,0,0,,,,,,,1.0,
B-513243342-N,BOUNDARY,513243342,N,1,1,,,,,,,1.0,
B-513243342-S,BOUNDARY,513243342,S,0,0,,,,,,,1.0,
B-513243342-W,BOUNDARY,513243342,W,0,0,,,,,,,1.0,
B-513243343-E,BOUNDARY,513243343,E,1,1,,,,,,,1.0,
B-513243343-N,BOUNDARY,513243343,N,1,1,,,,,,,1.0,
B-513243343-S,BOUNDARY,513243343,S,1,0,,,,,,,1.0,
B-513243343-W,BOUNDARY,513243343,W,0,0,,,,,,,1.0,
B-513243344-E,BOUNDARY,513243344,E,1,1,,,,,,,1.0,
B-513243344-N,BOUNDARY,513243344,N,1,1,,,,,,,1.0,
B-513243344-S,BOUNDARY,513243344,S,1,1,,,,,,,1.0,
B-513243344-W,BOUNDARY,513243344,W,1,1,,,,,,,1.0,
B-513243351-E,BOUNDARY,513243351,E,1,1,,,,,,,1.0,
B-513243351-N,BOUNDARY,513243351,N,1,0,,,,,,,1.0,
B-513243351-S,BOUNDARY,513243351,S,0,0,,,,,,,1.0,
B-513243351-W,BOUNDARY,513243351,W,0,0,,,,,,,1.0,
B-513243352-E,BOUNDARY,513243352,E,1,0,,,,,,,1.0,
B-513243352-N,BOUNDARY,513243352,N,1,0,,,,,,,1.0,
B-513243352-S,BOUNDARY,513243352,S,1,0,,,,,,,1.0,
B-513243352-W,BOUNDARY,513243352,W,1,1,,,,,,,1.0,
B-513243353-E,BOUNDARY,513243353,E,1,0,,,,,,,1.0,
B-513243353-N,BOUNDARY,513243353,N,1,1,,,,,,,1.0,
B-513243353-S,BOUNDARY,513243353,S,1,0,,,,,,,1.0,
