node_id,node_type,zone_id,side,has_kansen,has_sidou,lon,lat,intersection_type,is_signalized,juusin_kansen,juusin_sidou,priority,notes
B-513243254-E,BOUNDARY,513243254,E,0.0,0.0,,,,,,,1.0,
B-513243254-N,BOUNDARY,513243254,N,1.0,0.0,132.44979156017035,34.358357375494116,,,,,1.0,
B-513243254-S,BOUNDARY,513243254,S,0.0,0.0,,,,,,,1.0,
B-513243254-W,BOUNDARY,513243254,W,0.0,0.0,,,,,,,1.0,
B-513243263-E,BOUNDARY,513243263,E,0.0,0.0,,,,,,,1.0,
B-513243263-N,BOUNDARY,513243263,N,1.0,0.0,132.4534281250461,34.35858749056133,,,,,1.0,
B-513243263-S,BOUNDARY,513243263,S,0.0,0.0,,,,,,,1.0,
B-513243263-W,BOUNDARY,513243263,W,0.0,0.0,,,,,,,1.0,
B-513243264-E,BOUNDARY,513243264,E,0.0,0.0,,,,,,,1.0,
B-513243264-N,BOUNDARY,513243264,N,1.0,1.0,132.46206262672382,34.35856046695541,,,,,1.0,
B-513243264-S,BOUNDARY,513243264,S,0.0,0.0,,,,,,,1.0,
B-513243264-W,BOUNDARY,513243264,W,0.0,0.0,,,,,,,1.0,
B-513243273-E,BOUNDARY,513243273,E,0.0,0.0,,,,,,,1.0,
B-513243273-N,BOUNDARY,513243273,N,1.0,1.0,132.46458578700697,34.35873457832237,,,,,1.0,
B-513243273-S,BOUNDARY,513243273,S,0.0,0.0,,,,,,,1.0,
B-513243273-W,BOUNDARY,513243273,W,0.0,1.0,132.4626017424177,34.35887666037454,,,,,1.0,
B-513243274-E,BOUNDARY,513243274,E,0.0,0.0,,,,,,,1.0,
B-513243274-N,BOUNDARY,513243274,N,1.0,0.0,132.47474895344226,34.36046926298256,,,,,1.0,
B-513243274-S,BOUNDARY,513243274,S,0.0,0.0,,,,,,,1.0,
B-513243274-W,BOUNDARY,513243274,W,0.0,0.0,,,,,,,1.0,
B-513243283-E,BOUNDARY,513243283,E,0.0,0.0,,,,,,,1.0,
B-513243283-N,BOUNDARY,513243283,N,1.0,0.0,132.47819603267638,34.362083087728834,,,,,1.0,
B-513243283-S,BOUNDARY,513243283,S,0.0,0.0,,,,,,,1.0,
B-513243283-W,BOUNDARY,513243283,W,0.0,0.0,,,,,,,1.0,
B-513243341-E,BOUNDARY,513243341,E,1.0,0.0,132.4313743202933,34.36291008772026,,,,,1.0,
B-513243341-N,BOUNDARY,513243341,N,1.0,0.0,132.4262002777026,34.36252444223935,,,,,1.0,
B-513243341-S,BOUNDARY,513243341,S,0.0,0.0,,,,,,,1.0,
B-513243341-W,BOUNDARY,513243341,W,0.0,0.0,,,,,,,1.0,
B-513243342-E,BOUNDARY,513243342,E,0.0,0.0,,,,,,,1.0,
B-513243342-N,BOUNDARY,513243342,N,1.0,1.0,132.43467749831535,34.362603304177235,,,,,1.0,
B-513243342-S,BOUNDARY,513243342,S,0.0,0.0,,,,,,,1.0,
B-513243342-W,BOUNDARY,513243342,W,0.0,0.0,,,,,,,1.0,
B-513243343-E,BOUNDARY,513243343,E,1.0,1.0,132.4312512205699,34.36578197963287,,,,,1.0,
B-513243343-N,BOUNDARY,513243343,N,1.0,1.0,132.4289229853316,34.3666566617728,,,,,1.0,
B-513243343-S,BOUNDARY,513243343,S,1.0,0.0,132.4262002777026,34.36252444223935,,,,,1.0,
B-513243343-W,BOUNDARY,513243343,W,0.0,0.0,,,,,,,1.0,
B-513243344-E,BOUNDARY,513243344,E,1.0,1.0,132.43736451610246,34.36306053232978,,,,,1.0,
B-513243344-N,BOUNDARY,513243344,N,1.0,1.0,132.43280251690285,34.36678578601041,,,,,1.0,
B-513243344-S,BOUNDARY,513243344,S,1.0,1.0,132.43467749831535,34.362603304177235,,,,,1.0,
B-513243344-W,BOUNDARY,513243344,W,1.0,1.0,132.4312512205699,34.36578197963287,,,,,1.0,
B-513243351-E,BOUNDARY,513243351,E,1.0,1.0,132.44360499178921,34.35928725358454,,,,,1.0,
B-513243351-N,BOUNDARY,513243351,N,1.0,0.0,132.44044398599044,34.36277890034809,,,,,1.0,
B-513243351-S,BOUNDARY,513243351,S,0.0,0.0,,,,,,,1.0,
B-513243351-W,BOUNDARY,513243351,W,0.0,0.0,,,,,,,1.0,
B-513243352-E,BOUNDARY,513243352,E,1.0,0.0,132.44898472923302,34.36267325396852,,,,,1.0,
B-513243352-N,BOUNDARY,513243352,N,1.0,0.0,132.42797895761433,34.371154916632996,,,,,1.0,
B-513243352-S,BOUNDARY,513243352,S,1.0,0.0,132.4501553187889,34.358633824944334,,,,,1.0,
B-513243352-W,BOUNDARY,513243352,W,1.0,1.0,132.44360499178921,34.35928725358454,,,,,1.0,
B-513243353-E,BOUNDARY,513243353,E,1.0,0.0,132.44314602994785,34.363195337249415,,,,,1.0,
B-513243353-N,BOUNDARY,513243353,N,1.0,1.0,132.44182564092145,34.36653554337616,,,,,1.0,
B-513243353-S,BOUNDARY,513243353,S,1.0,0.0,132.44044398599044,34.36277890034809,,,,,1.0,
B-513243353-W,BOUNDARY,513243353,W,1.0,1.0,132.43736451610246,34.36306053232978,,,,,1.0,
B-513243354-E,BOUNDARY,513243354,E,1.0,1.0,132.44991896178547,34.36535157835855,,,,,1.0,
B-513243354-N,BOUNDARY,513243354,N,1.0,1.0,132.44503346753726,34.366548307352986,,,,,1.0,
B-513243354-S,BOUNDARY,513243354,S,1.0,0.0,132.42797895761433,34.371154916632996,,,,,1.0,
B-513243354-W,BOUNDARY,513243354,W,1.0,0.0,132.4440429039519,34.36617713779794,,,,,1.0,
B-513243361-E,BOUNDARY,513243361,E,1.0,1.0,132.45654390003568,34.35917147713135,,,,,1.0,
B-513243361-N,BOUNDARY,513243361,N,1.0,0.0,132.4559368066262,34.36275441562317,,,,,1.0,
B-513243361-S,BOUNDARY,513243361,S,1.0,0.0,132.4534281250461,34.35858749056133,,,,,1.0,
B-513243361-W,BOUNDARY,513243361,W,1.0,0.0,132.42797895761433,34.371154916632996,,,,,1.0,
B-513243362-E,BOUNDARY,513243362,E,0.0,1.0,132.4626026696441,34.361256787080684,,,,,1.0,
B-513243362-N,BOUNDARY,513243362,N,1.0,1.0,132.4624615581061,34.3629975844554,,,,,1.0,
B-513243362-S,BOUNDARY,513243362,S,1.0,1.0,132.46206262672382,34.35856046695541,,,,,1.0,
B-513243362-W,BOUNDARY,513243362,W,1.0,1.0,132.45654390003568,34.35917147713135,,,,,1.0,
B-513243363-E,BOUNDARY,513243363,E,1.0,0.0,132.45635312703826,34.36330555596518,,,,,1.0,
B-513243363-N,BOUNDARY,513243363,N,1.0,1.0,132.45232480971566,34.3666499353113,,,,,1.0,
B-513243363-S,BOUNDARY,513243363,S,1.0,0.0,132.4559368066262,34.36275441562317,,,,,1.0,
B-513243363-W,BOUNDARY,513243363,W,1.0,1.0,132.45014748971607,34.366369626434135,,,,,1.0,
B-513243364-E,BOUNDARY,513243364,E,1.0,1.0,132.4624299999005,34.36557946492947,,,,,1.0,
B-513243364-N,BOUNDARY,513243364,N,1.0,1.0,132.46126572467597,34.36660122343803,,,,,1.0,
B-513243364-S,BOUNDARY,513243364,S,1.0,1.0,132.4624615581061,34.3629975844554,,,,,1.0,
B-513243364-W,BOUNDARY,513243364,W,1.0,0.0,132.4559368066262,34.36275441562317,,,,,1.0,
B-513243371-E,BOUNDARY,513243371,E,1.0,1.0,132.46850114660538,34.360899284455215,,,,,1.0,
B-513243371-N,BOUNDARY,513243371,N,1.0,1.0,132.464926694611,34.36266705242829,,,,,1.0,
B-513243371-S,BOUNDARY,513243371,S,1.0,1.0,132.46458578700697,34.35873457832237,,,,,1.0,
B-513243371-W,BOUNDARY,513243371,W,0.0,1.0,132.4626026696441,34.361256787080684,,,,,1.0,
B-513243372-E,BOUNDARY,513243372,E,0.0,0.0,,,,,,,1.0,
B-513243372-N,BOUNDARY,513243372,N,1.0,0.0,132.47474895344226,34.36046926298256,,,,,1.0,
B-513243372-S,BOUNDARY,513243372,S,0.0,0.0,,,,,,,1.0,
B-513243372-W,BOUNDARY,513243372,W,1.0,1.0,132.46850114660538,34.360899284455215,,,,,1.0,
B-513243373-E,BOUNDARY,513243373,E,0.0,1.0,132.46838733469292,34.36593155442762,,,,,1.0,
B-513243373-N,BOUNDARY,513243373,N,1.0,0.0,132.44355859930698,34.38463098568055,,,,,1.0,
B-513243373-S,BOUNDARY,513243373,S,1.0,1.0,132.464926694611,34.36266705242829,,,,,1.0,
B-513243373-W,BOUNDARY,513243373,W,1.0,1.0,132.4624615581061,34.3629975844554,,,,,1.0,
B-513243374-E,BOUNDARY,513243374,E,1.0,0.0,132.47487082366305,34.365721410066364,,,,,1.0,
B-513243374-N,BOUNDARY,513243374,N,1.0,0.0,132.47007770677143,34.36655360205112,,,,,1.0,
B-513243374-S,BOUNDARY,513243374,S,1.0,1.0,132.47626833271934,34.36255949325287,,,,,1.0,
B-513243374-W,BOUNDARY,513243374,W,0.0,1.0,132.46838733469292,34.36593155442762,,,,,1.0,
B-513243381-E,BOUNDARY,513243381,E,1.0,1.0,132.48082676755595,34.36278751594728,,,,,1.0,
B-513243381-N,BOUNDARY,513243381,N,1.0,1.0,132.47626833271934,34.36255949325287,,,,,1.0,
