zone_id,boundary_type,side,is_present,boundary_id,kyoukaikukaku_kansen,kyoukaikukaku_sidouseikatudou,length_total_m,score
513243254,kansen,W,0,513243254_W,10443,,17.83,0.0
513243263,kansen,W,0,513243263_W,6294,,803.83,0.0
513243264,kansen,W,0,513243264_W,6254,6553,398.97,24.55
513243273,kansen,W,0,513243273_W,15953,15960_15948,913.44,64.69
513243274,kansen,W,0,513243274_W,16291,,527.55,0.0
513243283,kansen,W,0,513243283_W,15107,,780.03,0.0
513243341,kansen,W,0,513243341_W,9220_9481,,958.04,3.11
513243342,kansen,W,0,513243342_W,9206,9545,960.46,19.75
513243343,kansen,W,0,513243343_W,9220_9481_9348,9302_9340,5389.36,55.34
513243344,kansen,W,1,513243344_W,9220_9322_9206_9339,9302_9571_9545_14510,8389.3,39.19
513243351,kansen,W,0,513243351_W,10431_10329,10224,3321.17,7.62
513243352,kansen,W,1,513243352_W,10431_581_6506_14738,10224,6489.86,1.28
513243353,kansen,W,1,513243353_W,9322_10250_10329_14738,9571_13277,8102.49,9.03
513243354,kansen,W,1,513243354_W,13280_6252_14738_12931,10265_10328,12062.68,12.46
513243361,kansen,W,1,513243361_W,14738_6154_6294_6393,6521,8229.05,10.66
513243362,kansen,W,1,513243362_W,6154_6254_6205,6521_16062_6553_6228,7393.09,51.14
513243363,kansen,W,1,513243363_W,6252_6392_6393_6285,6282_11308,1911.76,41.94
513243364,kansen,W,1,513243364_W,6393_16388_6205_11513,6251_6228_6288,7566.77,44.56
513243371,kansen,W,0,513243371_W,15978_15953_16111,16062_16033_15948_16106,10036.9,71.43
513243372,kansen,W,1,513243372_W,15978_16291,16033,2223.24,28.88
513243373,kansen,W,1,513243373_W,16388_16111_tran_c037efc6-633a-4a68-a7fc-e3b448f83244,6228_16260_16106,8843.06,67.27
513243374,kansen,W,0,513243374_W,16383_16291_16290,16260_15074,7090.17,55.88
513243381,kansen,W,0,513243381_W,15077_15107,15112_15074,1444.29,28.53
513243382,kansen,W,0,513243382_W,15081,15080,949.0,23.59
513243383,kansen,W,1,513243383_W,15111_15077_15107_17729,15074_15112_18540,8095.56,40.24
513243384,kansen,W,1,513243384_W,15077_15081_15237,15188_15386_15080_18588,4474.71,38.06
513243393,kansen,W,0,513243393_W,,15386,34.9,80.0
513243434,kansen,W,0,513243434_W,14738,14675,4043.53,3.5
513243441,kansen,W,0,513243441_W,14738_9348_14733,14556_9340_14627,8513.11,17.97
513243442,kansen,W,1,513243442_W,14738_14559_9339_14648,14556_14596_14510_14634,14128.02,32.15
513243443,kansen,W,1,513243443_W,14738_14733_14739_14728,14675_14627_6566,9256.91,14.65
513243444,kansen,W,1,513243444_W,14733_13267_14648_7154,13140_14634_14729,7909.54,43.1
513243451,kansen,W,1,513243451_W,14559_13068_14738_13221,14596_13077_13277_13121,11508.12,32.14
513243452,kansen,W,1,513243452_W,13068_13393_12931_13113,13077_13080_10328_13091,8531.92,47.68
513243453,kansen,W,1,513243453_W,13240_13215_13221_2057,13140_13293_13121_2072,6796.17,51.84
513243454,kansen,W,1,513243454_W,13215_13178_13113_2073,13293_13271_13099_2077,9370.93,58.33
513243461,kansen,W,1,513243461_W,13393_11513_6285_11405,13080_11311_11526,5122.24,46.32
513243462,kansen,W,1,513243462_W,11513_tran_6da331c4-b955-452d-9142-258e7d0b8a13_11512_11778,11392_6288_11422,4442.93,36.32
513243463,kansen,W,1,513243463_W,13178_11466_11543_8710,13271_11526_11508,6008.16,33.75
513243464,kansen,W,1,513243464_W,11466_tran_090e8607-b8f1-4e30-a585-67989b3549c0_11778_15550,11410_11422_8712,6566.84,46.32
513243471,kansen,W,1,513243471_W,tran_6da331c4-b955-452d-9142-258e7d0b8a13_tran_afadeb4e-e86a-4c14-a293-5286d9b9a7ed_tran_c037efc6-633a-4a68-a7fc-e3b448f83244_tran_868e53bd-99ed-4f51-b49a-7447b16a4263,11392_tran_d32dcb47-878f-4079-a5d0-64ef4a450582_tran_b3b2b905-2801-4b76-8c29-fc6f15dc9f6c,6940.77,25.72
513243472,kansen,W,1,513243472_W,tran_bf63a880-7595-43cb-914c-d92890e074b4_17906_16383_tran_afadeb4e-e86a-4c14-a293-5286d9b9a7ed,tran_d32dcb47-878f-4079-a5d0-64ef4a450582_17808_tran_8c8e3752-964f-440e-89d2-fa6f9f666bb7,6700.06,17.64
513243473,kansen,W,1,513243473_W,tran_090e8607-b8f1-4e30-a585-67989b3549c0_tran_ad104dcd-afbd-43f2-9a3d-de2b7c32f386_tran_868e53bd-99ed-4f51-b49a-7447b16a4263_tran_2e481174-f713-4cc7-b8fe-24428977eaf9,tran_d879ac76-a0b2-4957-a0bb-3b782268d777_tran_b2e292d7-8b20-4160-a668-e555d6a0cbe9_tran_b3b2b905-2801-4b76-8c29-fc6f15dc9f6c_tran_db10298f-7115-44bb-bde3-a607cfcd22ff,6892.53,28.82
513243474,kansen,W,1,513243474_W,tran_ac644def-da41-4d62-a5e5-29d180855bdf_tran_94cf875b-0fc1-4c19-88ad-b9fe4189d0e0_tran_afadeb4e-e86a-4c14-a293-5286d9b9a7ed_15457,tran_b2e292d7-8b20-4160-a668-e555d6a0cbe9_tran_37a0a7db-474e-424a-a6fd-267bddc0e9f6_tran_8c8e3752-964f-440e-89d2-fa6f9f666bb7_15405,7881.13,22.94
513243481,kansen,W,1,513243481_W,17836_18500_17729_17992,17808_17774_18540_17913,8246.49,41.54
513243482,kansen,W,1,513243482_W,18500_15237_17937,17774_17748_18588_17898,6519.97,31.03
513243483,kansen,W,1,513243483_W,tran_94cf875b-0fc1-4c19-88ad-b9fe4189d0e0_7991_17992_7971,tran_37a0a7db-474e-424a-a6fd-267bddc0e9f6_18066_17913_18198,12021.92,60.85
513243484,kansen,W,1,513243484_W,18206_18145_17937_7991,18066_17971_17898_18200,8104.41,59.99
513243491,kansen,W,0,513243491_W,,17748,45.27,81.38
513243493,kansen,W,1,513243493_W,18145,17971,321.74,5.74
513243532,kansen,W,0,513243532_W,6986,7134,206.01,33.64
513243534,kansen,W,0,513243534_W,6860_9795,6883,1243.44,10.71
