zone_id,side,centroid_id,juusin_kansen,juusin_sidou,bside_kansen_present,bside_sidou_present
513243254,N,513243254_C,10443,0,1,0
513243254,E,513243254_C,10443,0,0,0
513243254,S,513243254_C,10443,0,0,0
513243254,W,513243254_C,10443,0,0,0
513243263,N,513243263_C,6293,0,1,0
513243263,E,513243263_C,6293,0,0,0
513243263,S,513243263_C,6293,0,0,0
513243263,W,513243263_C,6293,0,0,0
513243264,N,513243264_C,6115,6105,1,1
513243264,E,513243264_C,6115,6105,0,0
513243264,S,513243264_C,6115,6105,0,0
513243264,W,513243264_C,6115,6105,0,0
513243273,N,513243273_C,15935,16292,1,1
513243273,E,513243273_C,15935,16292,0,0
513243273,S,513243273_C,15935,16292,0,0
513243273,W,513243273_C,15935,16292,0,1
513243274,N,513243274_C,16291,0,1,0
513243274,E,513243274_C,16291,0,0,0
513243274,S,513243274_C,16291,0,0,0
513243274,W,513243274_C,16291,0,0,0
513243283,N,513243283_C,15107,0,1,0
513243283,E,513243283_C,15107,0,0,0
513243283,S,513243283_C,15107,0,0,0
513243283,W,513243283_C,15107,0,0,0
513243341,N,513243341_C,9573,9574,1,0
513243341,E,513243341_C,9573,9574,1,0
513243341,S,513243341_C,9573,9574,0,0
513243341,W,513243341_C,9573,9574,0,0
513243342,N,513243342_C,9195,9546,1,1
513243342,E,513243342_C,9195,9546,0,0
513243342,S,513243342_C,9195,9546,0,0
513243342,W,513243342_C,9195,9546,0,0
513243343,N,513243343_C,9265,9239,1,1
513243343,E,513243343_C,9265,9239,1,1
513243343,S,513243343_C,9265,9239,1,0
513243343,W,513243343_C,9265,9239,0,0
513243344,N,513243344_C,9229,9542,1,1
513243344,E,513243344_C,9229,9542,1,1
513243344,S,513243344_C,9229,9542,1,1
513243344,W,513243344_C,9229,9542,1,1
513243351,N,513243351_C,10427,10225,1,0
513243351,E,513243351_C,10427,10225,1,1
513243351,S,513243351_C,10427,10225,0,0
513243351,W,513243351_C,10427,10225,0,0
513243352,N,513243352_C,10226,10224,1,0
513243352,E,513243352_C,10226,10224,1,0
513243352,S,513243352_C,10226,10224,1,0
513243352,W,513243352_C,10226,10224,1,1
513243353,N,513243353_C,10330,10245,1,1
513243353,E,513243353_C,10330,10245,1,0
513243353,S,513243353_C,10330,10245,1,0
513243353,W,513243353_C,10330,10245,1,1
513243354,N,513243354_C,10422,578,1,1
513243354,E,513243354_C,10422,578,1,1
513243354,S,513243354_C,10422,578,1,0
513243354,W,513243354_C,10422,578,1,0
513243361,N,513243361_C,6155,6452,1,0
513243361,E,513243361_C,6155,6452,1,1
513243361,S,513243361_C,6155,6452,1,0
513243361,W,513243361_C,6155,6452,1,0
513243362,N,513243362_C,6527,6526,1,1
513243362,E,513243362_C,6527,6526,0,1
513243362,S,513243362_C,6527,6526,1,1
513243362,W,513243362_C,6527,6526,1,1
513243363,N,513243363_C,6290,6308,1,1
513243363,E,513243363_C,6290,6308,1,0
513243363,S,513243363_C,6290,6308,1,0
513243363,W,513243363_C,6290,6308,1,1
513243364,N,513243364_C,6235,6343,1,1
513243364,E,513243364_C,6235,6343,1,1
513243364,S,513243364_C,6235,6343,1,1
513243364,W,513243364_C,6235,6343,1,0
513243371,N,513243371_C,16489,15985,1,1
513243371,E,513243371_C,16489,15985,1,1
513243371,S,513243371_C,16489,15985,1,1
513243371,W,513243371_C,16489,15985,0,1
513243372,N,513243372_C,16291,16468,1,0
513243372,E,513243372_C,16291,16468,0,0
513243372,S,513243372_C,16291,16468,0,0
513243372,W,513243372_C,16291,16468,1,1
513243373,N,513243373_C,16127,16328,1,0
513243373,E,513243373_C,16127,16328,0,1
513243373,S,513243373_C,16127,16328,1,1
513243373,W,513243373_C,16127,16328,1,1
513243374,N,513243374_C,16440,16140,1,0
513243374,E,513243374_C,16440,16140,1,0
513243374,S,513243374_C,16440,16140,1,1
513243374,W,513243374_C,16440,16140,0,1
513243381,N,513243381_C,15107,15334,1,1
513243381,E,513243381_C,15107,15334,1,1
513243381,S,513243381_C,15107,15334,0,0
513243381,W,513243381_C,15107,15334,0,0
513243382,N,513243382_C,15391,15392,1,1
513243382,E,513243382_C,15391,15392,0,0
513243382,S,513243382_C,15391,15392,0,0
513243382,W,513243382_C,15391,15392,0,0
513243383,N,513243383_C,15315,15269,1,1
513243383,E,513243383_C,15315,15269,1,1
513243383,S,513243383_C,15315,15269,1,0
513243383,W,513243383_C,15315,15269,1,1
513243384,N,513243384_C,15374,15373,1,1
513243384,E,513243384_C,15374,15373,0,1
513243384,S,513243384_C,15374,15373,1,1
513243384,W,513243384_C,15374,15373,1,1
513243393,N,513243393_C,0,15386,0,0
513243393,E,513243393_C,0,15386,0,0
513243393,S,513243393_C,0,15386,0,0
513243393,W,513243393_C,0,15386,0,1
513243434,N,513243434_C,14699,14682,0,0
513243434,E,513243434_C,14699,14682,1,1
513243434,S,513243434_C,14699,14682,0,0
513243434,W,513243434_C,14699,14682,0,0
513243441,N,513243441_C,14572,14818,1,1
513243441,E,513243441_C,14572,14818,1,1
513243441,S,513243441_C,14572,14818,1,1
513243441,W,513243441_C,14572,14818,0,0
513243442,N,513243442_C,14864,14892,1,1
513243442,E,513243442_C,14864,14892,1,1
513243442,S,513243442_C,14864,14892,1,1
513243442,W,513243442_C,14864,14892,1,1
513243443,N,513243443_C,14728,14679,1,1
513243443,E,513243443_C,14728,14679,1,0
513243443,S,513243443_C,14728,14679,1,1
513243443,W,513243443_C,14728,14679,1,1
513243444,N,513243444_C,14661,14668,1,1
513243444,E,513243444_C,14661,14668,1,1
513243444,S,513243444_C,14661,14668,1,1
513243444,W,513243444_C,14661,14668,1,0
513243451,N,513243451_C,13278,13316,1,1
513243451,E,513243451_C,13278,13316,1,1
513243451,S,513243451_C,13278,13316,1,1
513243451,W,513243451_C,13278,13316,1,1
513243452,N,513243452_C,13473,13019,1,1
513243452,E,513243452_C,13473,13019,1,1
513243452,S,513243452_C,13473,13019,1,1
513243452,W,513243452_C,13473,13019,1,1
513243453,N,513243453_C,13630,13629,1,1
513243453,E,513243453_C,13630,13629,1,1
513243453,S,513243453_C,13630,13629,1,1
513243453,W,513243453_C,13630,13629,1,1
513243454,N,513243454_C,13164,13683,1,1
513243454,E,513243454_C,13164,13683,1,1
513243454,S,513243454_C,13164,13683,1,1
513243454,W,513243454_C,13164,13683,1,1
513243461,N,513243461_C,11593,11592,1,1
513243461,E,513243461_C,11593,11592,1,0
513243461,S,513243461_C,11593,11592,1,1
513243461,W,513243461_C,11593,11592,1,1
513243462,N,513243462_C,11638,11637,1,1
513243462,E,513243462_C,11638,11637,1,1
513243462,S,513243462_C,11638,11637,1,1
513243462,W,513243462_C,11638,11637,1,0
513243463,N,513243463_C,11467,11445,1,1
513243463,E,513243463_C,11467,11445,1,0
513243463,S,513243463_C,11467,11445,1,1
513243463,W,513243463_C,11467,11445,1,1
513243464,N,513243464_C,11772,11475,1,1
513243464,E,513243464_C,11772,11475,1,1
513243464,S,513243464_C,11772,11475,1,1
513243464,W,513243464_C,11772,11475,1,0
513243471,N,513243471_C,tran_4a4abe70-ea89-4c49-829c-7b566f6ced9a,tran_84ca2e19-87f3-4698-b0ed-f06b0ce30622,1,1
513243471,E,513243471_C,tran_4a4abe70-ea89-4c49-829c-7b566f6ced9a,tran_84ca2e19-87f3-4698-b0ed-f06b0ce30622,1,1
513243471,S,513243471_C,tran_4a4abe70-ea89-4c49-829c-7b566f6ced9a,tran_84ca2e19-87f3-4698-b0ed-f06b0ce30622,1,0
513243471,W,513243471_C,tran_4a4abe70-ea89-4c49-829c-7b566f6ced9a,tran_84ca2e19-87f3-4698-b0ed-f06b0ce30622,1,1
513243472,N,513243472_C,tran_1b1bd41a-ee60-4bfe-9e87-f98f855f45ae,tran_a04f8ee8-9481-4862-a2a1-c8bd70c8d937,1,1
513243472,E,513243472_C,tran_1b1bd41a-ee60-4bfe-9e87-f98f855f45ae,tran_a04f8ee8-9481-4862-a2a1-c8bd70c8d937,1,1
513243472,S,513243472_C,tran_1b1bd41a-ee60-4bfe-9e87-f98f855f45ae,tran_a04f8ee8-9481-4862-a2a1-c8bd70c8d937,1,0
513243472,W,513243472_C,tran_1b1bd41a-ee60-4bfe-9e87-f98f855f45ae,tran_a04f8ee8-9481-4862-a2a1-c8bd70c8d937,1,1
513243473,N,513243473_C,tran_1d31c9ab-ced1-4984-83c8-db6d85831c78,tran_2f0653a2-46dd-407c-bd22-6225abd81841,1,1
513243473,E,513243473_C,tran_1d31c9ab-ced1-4984-83c8-db6d85831c78,tran_2f0653a2-46dd-407c-bd22-6225abd81841,1,1
513243473,S,513243473_C,tran_1d31c9ab-ced1-4984-83c8-db6d85831c78,tran_2f0653a2-46dd-407c-bd22-6225abd81841,1,1
