zone_id,segments_total,count_Nat,count_Pref,count_Muni,count_Other,len_Nat_m,len_Pref_m,len_Muni_m,len_Other_m,length_total_m,score,juusinkukaku_kansen,juusinkukaku_sidouseikatudou,kyoukaikukaku_kansen_left,kyoukaikukaku_kansen_right,kyoukaikukaku_kansen_bottom,kyoukaikukaku_kansen_top,kyoukaikukaku_sidouseikatudou_left,kyoukaikukaku_sidouseikatudou_right,kyoukaikukaku_sidouseikatudou_bottom,kyoukaikukaku_sidouseikatudou_top
513243254,1,0,1,0,0,0,17.83,0,0,17.83,0,10443,,,,,10443,,,,
513243263,5,3,2,0,0,745.96,57.87,0,0,803.83,0,6293,,,,,6294,,,,
513243264,7,0,2,5,0,0,276.55,122.42,0,398.97,24.55,6115,6105,,,,6254,,,,6553
513243273,10,1,1,8,0,108.58,66.23,738.63,0,913.44,64.69,15935,16292,,,,15953,15960,,,15948
513243274,1,0,1,0,0,0,527.55,0,0,527.55,0,16291,,,,,16291,,,,
513243283,1,1,0,0,0,780.03,0,0,0,780.03,0,15107,,,,,15107,,,,
513243341,12,7,3,2,0,707.99,212.85,37.2,0,958.04,3.11,9573,9574,,9220,,9481,,,,
513243342,20,1,7,12,0,158.78,564.59,237.09,0,960.46,19.75,9195,9546,,,,9206,,,,9545
513243343,167,5,19,131,12,451.31,1249.42,3531.62,157.01,5389.36,55.34,9265,9239,,9220,9481,9348,,9302,,9340
513243344,234,22,53,121,38,1408.35,3022.75,3354.19,604.01,8389.3,39.19,9229,9542,9220,9322,9206,9339,9302,9571,9545,14510
513243351,33,11,14,8,0,1841.42,1163.39,316.36,0,3321.17,7.62,10427,10225,,10431,,10329,,10224,,
513243352,26,14,11,1,0,5551.83,834.22,103.81,0,6489.86,1.28,10226,10224,10431,581,6506,14738,10224,,,
513243353,72,19,27,25,1,5984.08,1204.79,908.08,5.54,8102.49,9.03,10330,10245,9322,10250,10329,14738,9571,,,13277
513243354,164,41,59,63,1,7647.08,2538.32,1873.2,4.08,12062.68,12.46,10422,578,13280,6252,14738,12931,,10265,,10328
513243361,76,25,24,27,0,6115.04,1017.42,1096.59,0,8229.05,10.66,6155,6452,14738,6154,6294,6393,,6521,,
513243362,187,10,55,77,45,611.52,2348.02,3263.23,1170.32,7393.09,51.14,6527,6526,6154,,6254,6205,6521,16062,6553,6228
513243363,54,12,10,32,0,649.24,260.36,1002.16,0,1911.76,41.94,6290,6308,6252,6392,6393,6285,6282,,,11308
513243364,186,17,43,78,48,1941.97,1708.71,2723.34,1192.75,7566.77,44.56,6235,6343,6393,16388,6205,11513,,6251,6228,6288
513243371,251,8,22,183,38,447.23,912.58,7537.1,1139.99,10036.9,71.43,16489,15985,,15978,15953,16111,16062,16033,15948,16106
513243372,30,11,6,8,5,820.31,665.81,474.86,262.26,2223.24,28.88,16291,16468,15978,,,16291,16033,,,
513243373,236,14,12,175,35,963.53,623.37,6536.24,719.92,8843.06,67.27,16127,16328,16388,,16111,tran_c037efc6-633a-4a68-a7fc-e3b448f83244,6228,16260,16106,
513243374,133,15,9,77,32,1311.82,1090.61,3628.11,1059.63,7090.17,55.88,16440,16140,,16383,16291,16290,16260,,15074,
513243381,6,2,0,4,0,929.25,0,515.04,0,1444.29,28.53,15107,15334,,15077,,15107,,15112,,15074
513243382,14,5,2,7,0,618.56,50.58,279.86,0,949,23.59,15391,15392,,,,15081,,,,15080
513243383,216,22,40,63,91,2466.2,1913.98,2288.46,1426.92,8095.56,40.24,15315,15269,15111,15077,15107,17729,15074,15112,,18540
513243384,119,12,19,46,42,1498.08,993.43,1399.98,583.22,4474.71,38.06,15374,15373,15077,,15081,15237,15188,15386,15080,18588
513243393,1,0,0,1,0,0,0,34.9,0,34.9,80,,15386,,,,,15386,,,
513243434,11,2,4,5,0,3418.08,448.49,176.96,0,4043.53,3.5,14699,14682,,14738,,,,14675,,
513243441,101,22,13,60,6,5907.49,714.79,1806.31,84.52,8513.11,17.97,14572,14818,,14738,9348,14733,,14556,9340,14627
513243442,276,52,39,125,60,6650.98,2091.41,4216.31,1169.32,14128.02,32.15,14864,14892,14738,14559,9339,14648,14556,14596,14510,14634
513243443,105,12,31,58,4,5363.7,2212.09,1625.18,55.94,9256.91,14.65,14728,14679,14738,14733,14739,14728,14675,,14627,6566
