weekday_type,hour,facility_mid,size_class,size_emp_min,size_emp_max,active1_start_hour,active1_end_hour,active2_start_hour,active2_end_hour,hourly_base,size_multiplier,m_default,notes
WD,0,大型商業施設,S,1,499,10.0,21.0,,,0.67,0.7,0.47,
WD,0,大型商業施設,M,500,999,10.0,21.0,,,0.67,1.0,0.67,
WD,0,大型商業施設,L,1000,2999,10.0,21.0,,,0.67,1.5,1.01,
WD,0,大型商業施設,XL,3000,1000000000,10.0,21.0,,,0.67,2.2,1.47,
WD,1,大型商業施設,S,1,499,10.0,21.0,,,0.6,0.7,0.42,
WD,1,大型商業施設,M,500,999,10.0,21.0,,,0.6,1.0,0.6,
WD,1,大型商業施設,L,1000,2999,10.0,21.0,,,0.6,1.5,0.9,
WD,1,大型商業施設,XL,3000,1000000000,10.0,21.0,,,0.6,2.2,1.32,
WD,2,大型商業施設,S,1,499,10.0,21.0,,,0.6,0.7,0.42,
WD,2,大型商業施設,M,500,999,10.0,21.0,,,0.6,1.0,0.6,
WD,2,大型商業施設,L,1000,2999,10.0,21.0,,,0.6,1.5,0.9,
WD,2,大型商業施設,XL,3000,1000000000,10.0,21.0,,,0.6,2.2,1.32,
WD,3,大型商業施設,S,1,499,10.0,21.0,,,0.6,0.7,0.42,
WD,3,大型商業施設,M,500,999,10.0,21.0,,,0.6,1.0,0.6,
WD,3,大型商業施設,L,1000,2999,10.0,21.0,,,0.6,1.5,0.9,
WD,3,大型商業施設,XL,3000,1000000000,10.0,21.0,,,0.6,2.2,1.32,
WD,4,大型商業施設,S,1,499,10.0,21.0,,,0.6,0.7,0.42,
WD,4,大型商業施設,M,500,999,10.0,21.0,,,0.6,1.0,0.6,
WD,4,大型商業施設,L,1000,2999,10.0,21.0,,,0.6,1.5,0.9,
WD,4,大型商業施設,XL,3000,1000000000,10.0,21.0,,,0.6,2.2,1.32,
WD,5,大型商業施設,S,1,499,10.0,21.0,,,0.6,0.7,0.42,
WD,5,大型商業施設,M,500,999,10.0,21.0,,,0.6,1.0,0.6,
WD,5,大型商業施設,L,1000,2999,10.0,21.0,,,0.6,1.5,0.9,
WD,5,大型商業施設,XL,3000,1000000000,10.0,21.0,,,0.6,2.2,1.32,
WD,6,大型商業施設,S,1,499,10.0,21.0,,,0.6,0.7,0.42,
WD,6,大型商業施設,M,500,999,10.0,21.0,,,0.6,1.0,0.6,
WD,6,大型商業施設,L,1000,2999,10.0,21.0,,,0.6,1.5,0.9,
WD,6,大型商業施設,XL,3000,1000000000,10.0,21.0,,,0.6,2.2,1.32,
WD,7,大型商業施設,S,1,499,10.0,21.0,,,0.73,0.7,0.51,
WD,7,大型商業施設,M,500,999,10.0,21.0,,,0.73,1.0,0.73,
WD,7,大型商業施設,L,1000,2999,10.0,21.0,,,0.73,1.5,1.09,
WD,7,大型商業施設,XL,3000,1000000000,10.0,21.0,,,0.73,2.2,1.61,
WD,8,大型商業施設,S,1,499,10.0,21.0,,,0.87,0.7,0.61,
WD,8,大型商業施設,M,500,999,10.0,21.0,,,0.87,1.0,0.87,
WD,8,大型商業施設,L,1000,2999,10.0,21.0,,,0.87,1.5,1.3,
WD,8,大型商業施設,XL,3000,1000000000,10.0,21.0,,,0.87,2.2,1.91,
WD,9,大型商業施設,S,1,499,10.0,21.0,,,1.0,0.7,0.7,
WD,9,大型商業施設,M,500,999,10.0,21.0,,,1.0,1.0,1.0,
WD,9,大型商業施設,L,1000,2999,10.0,21.0,,,1.0,1.5,1.5,
WD,9,大型商業施設,XL,3000,1000000000,10.0,21.0,,,1.0,2.2,2.2,
WD,10,大型商業施設,S,1,499,10.0,21.0,,,1.07,0.7,0.75,
WD,10,大型商業施設,M,500,999,10.0,21.0,,,1.07,1.0,1.07,
WD,10,大型商業施設,L,1000,2999,10.0,21.0,,,1.07,1.5,1.6,
WD,10,大型商業施設,XL,3000,1000000000,10.0,21.0,,,1.07,2.2,2.35,
WD,11,大型商業施設,S,1,499,10.0,21.0,,,1.13,0.7,0.79,
WD,11,大型商業施設,M,500,999,10.0,21.0,,,1.13,1.0,1.13,
WD,11,大型商業施設,L,1000,2999,10.0,21.0,,,1.13,1.5,1.69,
WD,11,大型商業施設,XL,3000,1000000000,10.0,21.0,,,1.13,2.2,2.49,
WD,12,大型商業施設,S,1,499,10.0,21.0,,,1.2,0.7,0.84,
WD,12,大型商業施設,M,500,999,10.0,21.0,,,1.2,1.0,1.2,
WD,12,大型商業施設,L,1000,2999,10.0,21.0,,,1.2,1.5,1.8,
WD,12,大型商業施設,XL,3000,1000000000,10.0,21.0,,,1.2,2.2,2.64,
WD,13,大型商業施設,S,1,499,10.0,21.0,,,1.13,0.7,0.79,
WD,13,大型商業施設,M,500,999,10.0,21.0,,,1.13,1.0,1.13,
WD,13,大型商業施設,L,1000,2999,10.0,21.0,,,1.13,1.5,1.69,
WD,13,大型商業施設,XL,3000,1000000000,10.0,21.0,,,1.13,2.2,2.49,
WD,14,大型商業施設,S,1,499,10.0,21.0,,,1.07,0.7,0.75,
WD,14,大型商業施設,M,500,999,10.0,21.0,,,1.07,1.0,1.07,
WD,14,大型商業施設,L,1000,2999,10.0,21.0,,,1.07,1.5,1.6,
WD,14,大型商業施設,XL,3000,1000000000,10.0,21.0,,,1.07,2.2,2.35,
WD,15,大型商業施設,S,1,499,10.0,21.0,,,1.0,0.7,0.7,
WD,15,大型商業施設,M,500,999,10.0,21.0,,,1.0,1.0,1.0,
WD,15,大型商業施設,L,1000,2999,10.0,21.0,,,1.0,1.5,1.5,
WD,15,大型商業施設,XL,3000,1000000000,10.0,21.0,,,1.0,2.2,2.2,
WD,16,大型商業施設,S,1,499,10.0,21.0,,,1.1,0.7,0.77,
WD,16,大型商業施設,M,500,999,10.0,21.0,,,1.1,1.0,1.1,
WD,16,大型商業施設,L,1000,2999,10.0,21.0,,,1.1,1.5,1.65,
WD,16,大型商業施設,XL,3000,1000000000,10.0,21.0,,,1.1,2.2,2.42,
WD,17,大型商業施設,S,1,499,10.0,21.0,,,1.2,0.7,0.84,
WD,17,大型商業施設,M,500,999,10.0,21.0,,,1.2,1.0,1.2,
WD,17,大型商業施設,L,1000,2999,10.0,21.0,,,1.2,1.5,1.8,
WD,17,大型商業施設,XL,3000,1000000000,10.0,21.0,,,1.2,2.2,2.64,
WD,18,大型商業施設,S,1,499,10.0,21.0,,,1.3,0.7,0.91,
WD,18,大型商業施設,M,500,999,10.0,21.0,,,1.3,1.0,1.3,
WD,18,大型商業施設,L,1000,2999,10.0,21.0,,,1.3,1.5,1.95,
WD,18,大型商業施設,XL,3000,1000000000,10.0,21.0,,,1.3,2.2,2.86,
WD,19,大型商業施設,S,1,499,10.0,21.0,,,1.3,0.7,0.91,
WD,19,大型商業施設,M,500,999,10.0,21.0,,,1.3,1.0,1.3,
WD,19,大型商業施設,L,1000,2999,10.0,21.0,,,1.3,1.5,1.95,
WD,19,大型商業施設,XL,3000,1000000000,10.0,21.0,,,1.3,2.2,2.86,
WD,20,大型商業施設,S,1,499,10.0,21.0,,,1.13,0.7,0.79,
WD,20,大型商業施設,M,500,999,10.0,21.0,,,1.13,1.0,1.13,
WD,20,大型商業施設,L,1000,2999,10.0,21.0,,,1.13,1.5,1.69,
WD,20,大型商業施設,XL,3000,1000000000,10.0,21.0,,,1.13,2.2,2.49,
WD,21,大型商業施設,S,1,499,10.0,21.0,,,0.97,0.7,0.68,
WD,21,大型商業施設,M,500,999,10.0,21.0,,,0.97,1.0,0.97,
WD,21,大型商業施設,L,1000,2999,10.0,21.0,,,0.97,1.5,1.46,
WD,21,大型商業施設,XL,3000,1000000000,10.0,21.0,,,0.97,2.2,2.13,
WD,22,大型商業施設,S,1,499,10.0,21.0,,,0.8,0.7,0.56,
WD,22,大型商業施設,M,500,999,10.0,21.0,,,0.8,1.0,0.8,
WD,22,大型商業施設,L,1000,2999,10.0,21.0,,,0.8,1.5,1.2,
WD,22,大型商業施設,XL,3000,1000000000,10.0,21.0,,,0.8,2.2,1.76,
WD,23,大型商業施設,S,1,499,10.0,21.0,,,0.73,0.7,0.51,
WD,23,大型商業施設,M,500,999,10.0,21.0,,,0.73,1.0,0.73,
WD,23,大型商業施設,L,1000,2999,10.0,21.0,,,0.73,1.5,1.09,
WD,23,大型商業施設,XL,3000,1000000000,10.0,21.0,,,0.73,2.2,1.61,
WD,0,学校,S,1,199,8.0,17.0,,,0.3,0.7,0.21,
WD,0,学校,M,200,599,8.0,17.0,,,0.3,1.0,0.3,
WD,0,学校,L,600,999,8.0,17.0,,,0.3,1.2,0.36,
WD,0,学校,XL,1000,1000000000,8.0,17.0,,,0.3,1.35,0.41,
WD,1,学校,S,1,199,8.0,17.0,,,0.3,0.7,0.21,
WD,1,学校,M,200,599,8.0,17.0,,,0.3,1.0,0.3,
WD,1,学校,L,600,999,8.0,17.0,,,0.3,1.2,0.36,
WD,1,学校,XL,1000,1000000000,8.0,17.0,,,0.3,1.35,0.41,
WD,2,学校,S,1,199,8.0,17.0,,,0.3,0.7,0.21,
WD,2,学校,M,200,599,8.0,17.0,,,0.3,1.0,0.3,
WD,2,学校,L,600,999,8.0,17.0,,,0.3,1.2,0.36,
WD,2,学校,XL,1000,1000000000,8.0,17.0,,,0.3,1.35,0.41,
WD,3,学校,S,1,199,8.0,17.0,,,0.3,0.7,0.21,
WD,3,学校,M,200,599,8.0,17.0,,,0.3,1.0,0.3,
WD,3,学校,L,600,999,8.0,17.0,,,0.3,1.2,0.36,
WD,3,学校,XL,1000,1000000000,8.0,17.0,,,0.3,1.35,0.41,
WD,4,学校,S,1,199,8.0,17.0,,,0.3,0.7,0.21,
WD,4,学校,M,200,599,8.0,17.0,,,0.3,1.0,0.3,
WD,4,学校,L,600,999,8.0,17.0,,,0.3,1.2,0.36,
WD,4,学校,XL,1000,1000000000,8.0,17.0,,,0.3,1.35,0.41,
WD,5,学校,S,1,199,8.0,17.0,,,0.3,0.7,0.21,
WD,5,学校,M,200,599,8.0,17.0,,,0.3,1.0,0.3,
WD,5,学校,L,600,999,8.0,17.0,,,0.3,1.2,0.36,
WD,5,学校,XL,1000,1000000000,8.0,17.0,,,0.3,1.35,0.41,
WD,6,学校,S,1,199,8.0,17.0,,,0.73,0.7,0.51,
WD,6,学校,M,200,599,8.0,17.0,,,0.73,1.0,0.73,
WD,6,学校,L,600,999,8.0,17.0,,,0.73,1.2,0.88,
WD,6,学校,XL,1000,1000000000,8.0,17.0,,,0.73,1.35,0.99,
WD,7,学校,S,1,199,8.0,17.0,,,1.17,0.7,0.82,
WD,7,学校,M,200,599,8.0,17.0,,,1.17,1.0,1.17,
WD,7,学校,L,600,999,8.0,17.0,,,1.17,1.2,1.4,
WD,7,学校,XL,1000,1000000000,8.0,17.0,,,1.17,1.35,1.58,
WD,8,学校,S,1,199,8.0,17.0,,,1.6,0.7,1.12,
WD,8,学校,M,200,599,8.0,17.0,,,1.6,1.0,1.6,
WD,8,学校,L,600,999,8.0,17.0,,,1.6,1.2,1.92,
WD,8,学校,XL,1000,1000000000,8.0,17.0,,,1.6,1.35,2.16,
WD,9,学校,S,1,199,8.0,17.0,,,1.33,0.7,0.93,
WD,9,学校,M,200,599,8.0,17.0,,,1.33,1.0,1.33,
WD,9,学校,L,600,999,8.0,17.0,,,1.33,1.2,1.6,
WD,9,学校,XL,1000,1000000000,8.0,17.0,,,1.33,1.35,1.8,
WD,10,学校,S,1,199,8.0,17.0,,,1.07,0.7,0.75,
WD,10,学校,M,200,599,8.0,17.0,,,1.07,1.0,1.07,
WD,10,学校,L,600,999,8.0,17.0,,,1.07,1.2,1.28,
WD,10,学校,XL,1000,1000000000,8.0,17.0,,,1.07,1.35,1.44,
WD,11,学校,S,1,199,8.0,17.0,,,0.8,0.7,0.56,
WD,11,学校,M,200,599,8.0,17.0,,,0.8,1.0,0.8,
WD,11,学校,L,600,999,8.0,17.0,,,0.8,1.2,0.96,
WD,11,学校,XL,1000,1000000000,8.0,17.0,,,0.8,1.35,1.08,
WD,12,学校,S,1,199,8.0,17.0,,,0.8,0.7,0.56,
WD,12,学校,M,200,599,8.0,17.0,,,0.8,1.0,0.8,
WD,12,学校,L,600,999,8.0,17.0,,,0.8,1.2,0.96,
WD,12,学校,XL,1000,1000000000,8.0,17.0,,,0.8,1.35,1.08,
WD,13,学校,S,1,199,8.0,17.0,,,0.8,0.7,0.56,
WD,13,学校,M,200,599,8.0,17.0,,,0.8,1.0,0.8,
WD,13,学校,L,600,999,8.0,17.0,,,0.8,1.2,0.96,
WD,13,学校,XL,1000,1000000000,8.0,17.0,,,0.8,1.35,1.08,
WD,14,学校,S,1,199,8.0,17.0,,,1.0,0.7,0.7,
WD,14,学校,M,200,599,8.0,17.0,,,1.0,1.0,1.0,
WD,14,学校,L,600,999,8.0,17.0,,,1.0,1.2,1.2,
WD,14,学校,XL,1000,1000000000,8.0,17.0,,,1.0,1.35,1.35,
WD,15,学校,S,1,199,8.0,17.0,,,1.2,0.7,0.84,
WD,15,学校,M,200,599,8.0,17.0,,,1.2,1.0,1.2,
WD,15,学校,L,600,999,8.0,17.0,,,1.2,1.2,1.44,
WD,15,学校,XL,1000,1000000000,8.0,17.0,,,1.2,1.35,1.62,
WD,16,学校,S,1,199,8.0,17.0,,,1.4,0.7,0.98,
WD,16,学校,M,200,599,8.0,17.0,,,1.4,1.0,1.4,
WD,16,学校,L,600,999,8.0,17.0,,,1.4,1.2,1.68,
WD,16,学校,XL,1000,1000000000,8.0,17.0,,,1.4,1.35,1.89,
WD,17,学校,S,1,199,8.0,17.0,,,1.03,0.7,0.72,
WD,17,学校,M,200,599,8.0,17.0,,,1.03,1.0,1.03,
WD,17,学校,L,600,999,8.0,17.0,,,1.03,1.2,1.24,
WD,17,学校,XL,1000,1000000000,8.0,17.0,,,1.03,1.35,1.39,
WD,18,学校,S,1,199,8.0,17.0,,,0.67,0.7,0.47,
WD,18,学校,M,200,599,8.0,17.0,,,0.67,1.0,0.67,
WD,18,学校,L,600,999,8.0,17.0,,,0.67,1.2,0.8,
