code,label
KEY_CODE,
HTKSYORI,
HTKSAKI,
GASSAN,
T001101001,　人口（総数）
T001101002,　人口（総数）　男
T001101003,　人口（総数）　女
T001101004,　０～１４歳人口　総数
T001101005,　０～１４歳人口　男
T001101006,　０～１４歳人口　女
T001101007,　１５歳以上人口　総数
T001101008,　１５歳以上人口　男
T001101009,　１５歳以上人口　女
T001101010,　１５～６４歳人口　総数
T001101011,　１５～６４歳人口　男
T001101012,　１５～６４歳人口　女
T001101013,　１８歳以上人口　総数
T001101014,　１８歳以上人口　男
T001101015,　１８歳以上人口　女
T001101016,　２０歳以上人口　総数
T001101017,　２０歳以上人口　男
T001101018,　２０歳以上人口　女
T001101019,　６５歳以上人口　総数
T001101020,　６５歳以上人口　男
T001101021,　６５歳以上人口　女
T001101022,　７５歳以上人口　総数
T001101023,　７５歳以上人口　男
T001101024,　７５歳以上人口　女
T001101025,　８５歳以上人口　総数
T001101026,　８５歳以上人口　男
T001101027,　８５歳以上人口　女
T001101028,　９５歳以上人口　総数
T001101029,　９５歳以上人口　男
T001101030,　９５歳以上人口　女
T001101031,　外国人人口　総数
T001101032,　外国人人口　男
T001101033,　外国人人口　女
T001101034,　世帯総数
T001101035,　一般世帯数
T001101036,　１人世帯数　一般世帯数
T001101037,　２人世帯数　一般世帯数
T001101038,　３人世帯数　一般世帯数
T001101039,　４人世帯数　一般世帯数
T001101040,　５人世帯数　一般世帯数
T001101041,　６人世帯数　一般世帯数
T001101042,　７人以上世帯数　一般世帯数
T001101043,　親族のみの世帯数　一般世帯数
T001101044,　核家族世帯数　一般世帯数
T001101045,　核家族以外の世帯数　一般世帯数
T001101046,　６歳未満世帯員のいる世帯数　一般世帯数
T001101047,　６５歳以上世帯員のいる世帯数　一般世帯数
T001101048,　世帯主の年齢が２０～２９歳の１人世帯数　一般世帯数
T001101049,　高齢単身世帯数　一般世帯数
T001101050,　高齢夫婦世帯数　一般世帯数
