KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001108001,T001108002,T001108003,T001108004,T001108005,T001108006,T001108007,T001108008,T001108009,T001108010,T001108011,T001108012,T001108013,T001108014,T001108015,T001108016,T001108017,T001108018,T001108019,T001108020,T001108021,T001108022,T001108023,T001108024,T001108025,T001108026,T001108027,T001108028,T001108029,T001108030,T001108031,T001108032,T001108033,T001108034,T001108035,T001108036,T001108037,T001108038,T001108039,T001108040,T001108041,T001108042,T001108043,T001108044,T001108045,T001108046,T001108047,T001108048,T001108049,T001108050,T001108051,T001108052,T001108053,T001108054,T001108055,T001108056,T001108057,T001108058,T001108059,T001108060,T001108061,T001108062,T001108063,T001108064,T001108065,T001108066,T001108067,T001108068,T001108069,T001108070,T001108071,T001108072,T001108073,T001108074,T001108075,T001108076,T001108077,T001108078,T001108079,T001108080,T001108081,T001108082,T001108083,T001108084,T001108085,T001108086,T001108087,T001108088,T001108089,T001108090,T001108091,T001108092,T001108093,T001108094
513204612,1,,513204614,14,6,8,4,2,2,0,0,0,8,3,5,3,3,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,1,0,1,0,0,0,0,0,0,46,20,26,15,6,9,27,13,14,3,1,2,1,0,1,10,5,5,0,0,0,6,3,3,2,1,1,7,4,3,23,7,16,2,1,7,15,23,22,1,3,0,1,11,1,0
513204614,2,513204612,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
513204721,0,,,5,4,1,3,2,1,0,0,0,0,0,0,3,3,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,5,6,4,2,8,6,2,0,0,0,1,0,1,4,4,0,0,0,0,1,1,0,0,0,0,3,2,1,8,4,4,3,0,3,4,9,9,0,1,0,0,6,0,0
513204723,0,,,30,14,16,14,5,9,0,0,0,14,7,7,6,5,1,2,0,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,2,1,0,1,1,0,1,0,0,0,0,0,0,72,35,37,29,17,12,26,13,13,9,0,9,3,2,1,17,11,6,3,3,0,2,0,2,4,1,3,7,4,3,42,17,25,5,2,17,18,39,38,1,1,0,4,22,3,3
513204821,2,513204822,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
513204822,1,,513204821,5,2,3,1,1,0,0,0,0,2,0,2,11,8,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,18,27,26,8,18,15,8,7,3,2,1,1,0,1,6,4,2,0,0,0,0,0,0,2,1,1,3,2,1,34,11,23,3,0,4,16,19,19,0,3,0,0,5,0,0
513204831,2,513204834,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
513204832,2,513204834,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
513204834,1,,513204831;513204832,18,6,12,9,4,5,0,0,0,8,1,7,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,3,1,2,1,1,0,0,0,0,0,0,0,40,17,23,14,6,8,22,9,13,1,0,1,3,2,1,4,3,1,0,0,0,5,3,2,1,0,1,11,5,6,23,8,15,1,1,9,8,25,23,2,0,0,1,15,0,0
513204841,0,,,14,10,4,10,8,2,0,0,0,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,19,18,16,7,9,21,12,9,0,0,0,0,0,0,14,10,4,0,0,0,0,0,0,1,0,1,4,2,2,18,7,11,0,3,6,9,16,16,0,2,0,0,14,0,0
